File,Initialization,MarginalLikelihood
LD_faststructure_K.10.log,1,-0.7554168111
LD_faststructure_K.10.log,2,-0.7542136715
LD_faststructure_K.10.log,3,-0.7574691708
LD_faststructure_K.10.log,4,-0.7652389535
LD_faststructure_K.10.log,5,-0.7623346136
LD_faststructure_K.11.log,1,-0.7592448777
LD_faststructure_K.11.log,2,-0.7633963137
LD_faststructure_K.11.log,3,-0.7569351539
LD_faststructure_K.11.log,4,-0.7662085294
LD_faststructure_K.11.log,5,-0.7637719123
LD_faststructure_K.12.log,1,-0.7550604186
LD_faststructure_K.12.log,2,-0.7632916030
LD_faststructure_K.12.log,3,-0.7615841414
LD_faststructure_K.12.log,4,-0.7643675854
LD_faststructure_K.12.log,5,-0.7633053231
LD_faststructure_K.13.log,1,-0.7597587474
LD_faststructure_K.13.log,2,-0.7527127593
LD_faststructure_K.13.log,3,-0.7497470025
LD_faststructure_K.13.log,4,-0.7554474850
LD_faststructure_K.13.log,5,-0.7579476766
LD_faststructure_K.14.log,1,-0.7644027045
LD_faststructure_K.14.log,2,-0.7568901951
LD_faststructure_K.14.log,3,-0.7555590421
LD_faststructure_K.14.log,4,-0.7500412348
LD_faststructure_K.14.log,5,-0.7612575704
LD_faststructure_K.15.log,1,-0.7561918225
LD_faststructure_K.15.log,2,-0.7599814365
LD_faststructure_K.15.log,3,-0.7573098132
LD_faststructure_K.15.log,4,-0.7535203198
LD_faststructure_K.15.log,5,-0.7553497942
LD_faststructure_K.16.log,1,-0.7657869245
LD_faststructure_K.16.log,2,-0.7601300504
LD_faststructure_K.16.log,3,-0.7561897241
LD_faststructure_K.16.log,4,-0.7546225247
LD_faststructure_K.16.log,5,-0.7594351915
LD_faststructure_K.17.log,1,-0.7586003202
LD_faststructure_K.17.log,2,-0.7583024477
LD_faststructure_K.17.log,3,-0.7483711718
LD_faststructure_K.17.log,4,-0.7564969913
LD_faststructure_K.17.log,5,-0.7512053543
LD_faststructure_K.18.log,1,-0.7570176078
LD_faststructure_K.18.log,2,-0.7580578023
LD_faststructure_K.18.log,3,-0.7546173251
LD_faststructure_K.18.log,4,-0.7553021023
LD_faststructure_K.18.log,5,-0.7605509468
LD_faststructure_K.19.log,1,-0.7509651056
LD_faststructure_K.19.log,2,-0.7519930059
LD_faststructure_K.19.log,3,-0.7490143117
LD_faststructure_K.19.log,4,-0.7530267162
LD_faststructure_K.19.log,5,-0.7544301245
LD_faststructure_K.20.log,1,-0.7635921006
LD_faststructure_K.20.log,2,-0.7550835323
LD_faststructure_K.20.log,3,-0.7529099393
LD_faststructure_K.20.log,4,-0.7466538372
LD_faststructure_K.20.log,5,-0.7520185673
LD_faststructure_K.2.log,1,-0.7451886449
LD_faststructure_K.2.log,2,-0.7451675153
LD_faststructure_K.2.log,3,-0.7451629589
LD_faststructure_K.2.log,4,-0.7451658488
LD_faststructure_K.2.log,5,-0.7451564658
LD_faststructure_K.3.log,1,-0.7471019688
LD_faststructure_K.3.log,2,-0.7461718476
LD_faststructure_K.3.log,3,-0.7477044185
LD_faststructure_K.3.log,4,-0.7469733798
LD_faststructure_K.3.log,5,-0.7460543042
LD_faststructure_K.4.log,1,-0.7479713634
LD_faststructure_K.4.log,2,-0.7489703823
LD_faststructure_K.4.log,3,-0.7497541222
LD_faststructure_K.4.log,4,-0.7479162082
LD_faststructure_K.4.log,5,-0.7485432325
LD_faststructure_K.5.log,1,-0.7505764120
LD_faststructure_K.5.log,2,-0.7491584134
LD_faststructure_K.5.log,3,-0.7505649482
LD_faststructure_K.5.log,4,-0.7518734375
LD_faststructure_K.5.log,5,-0.7508528830
LD_faststructure_K.6.log,1,-0.7509364757
LD_faststructure_K.6.log,2,-0.7524881669
LD_faststructure_K.6.log,3,-0.7524904288
LD_faststructure_K.6.log,4,-0.7552699351
LD_faststructure_K.6.log,5,-0.7529186067
LD_faststructure_K.7.log,1,-0.7610859490
LD_faststructure_K.7.log,2,-0.7501550805
LD_faststructure_K.7.log,3,-0.7553874632
LD_faststructure_K.7.log,4,-0.7562601174
LD_faststructure_K.7.log,5,-0.7547483419
LD_faststructure_K.8.log,1,-0.7578314548
LD_faststructure_K.8.log,2,-0.7566953290
LD_faststructure_K.8.log,3,-0.7582703460
LD_faststructure_K.8.log,4,-0.7608726868
LD_faststructure_K.8.log,5,-0.7583237412
LD_faststructure_K.9.log,1,-0.7627638542
LD_faststructure_K.9.log,2,-0.7577905226
LD_faststructure_K.9.log,3,-0.7572699484
LD_faststructure_K.9.log,4,-0.7621892305
LD_faststructure_K.9.log,5,-0.7528025839
